trigger_name,event_object_table
trg_orders_to_user_transactions,orders
trg_orders_to_user_transactions,orders
trg_provision_sub_account_balance,canonical_users
competitions_sync_num_winners_trg,competitions
competitions_sync_num_winners_trg,competitions
sub_account_balances_award_insert,sub_account_balances
trg_confirm_pending_tickets,pending_tickets
trg_expire_hold_on_write,pending_ticket_items
trg_expire_hold_on_write,pending_ticket_items
trg_award_first_topup_bonus,custody_transactions
sub_account_balances_award_update,sub_account_balances
trg_user_transactions_cdp_enqueue,user_transactions
trg_auto_debit_on_balance_order,orders
trg_auto_debit_on_balance_order,orders
trg_normalize_sub_account_currency,sub_account_balances
trg_normalize_sub_account_currency,sub_account_balances
trg_profiles_after_upsert,profiles
trg_profiles_after_upsert,profiles
tr_set_canonical_user_id,canonical_users
tr_set_canonical_user_id,canonical_users
competitions_sync_tickets_sold_trg,competitions
competitions_sync_tickets_sold_trg,competitions
trg_bcast_winner_changes,winners
trg_bcast_winner_changes,winners
trg_bcast_winner_changes,winners
trg_canonical_users_normalize,canonical_users
trg_canonical_users_normalize,canonical_users
trg_email_auth_sessions_verified,email_auth_sessions
trg_users_autolink_before_ins,users
cu_normalize_and_enforce_trg,canonical_users
cu_normalize_and_enforce_trg,canonical_users
users_normalize_before_write,users
users_normalize_before_write,users
canonical_users_normalize_before_write,canonical_users
canonical_users_normalize_before_write,canonical_users
trg_init_sub_balance,canonical_users
trg_pending_sync_joincompetition,pending_tickets
trg_pending_sync_joincompetition,pending_tickets
trg_user_tx_before_insert,user_transactions
trg_user_tx_autocomplete_bi,user_transactions
trg_user_tx_autocomplete_bu,user_transactions
trg_user_tx_post_ai,user_transactions
trg_user_tx_post_au,user_transactions
trg_user_tx_guard_bu,user_transactions
trg_complete_topup_on_webhook_ref_ins,user_transactions
trg_complete_topup_on_webhook_ref_upd,user_transactions
trg_finalize_pending_user_transactions,user_transactions
trg_tickets_wallet_bi,tickets
trg_tickets_wallet_bi,tickets
trg_bcast_ticket_changes,tickets
trg_bcast_ticket_changes,tickets
trg_bcast_ticket_changes,tickets
trg_tickets_finalize_spend,tickets
trg_tickets_finalize_spend,tickets
trg_tickets_sync_joincompetition,tickets
trg_tickets_sync_joincompetition,tickets
trg_tickets_sync_joincompetition,tickets
trg_user_transactions_txid_fill,user_transactions
trg_tickets_txid_fill,tickets
trg_repair_topup_provider_and_status,user_transactions
trg_repair_topup_provider_and_status,user_transactions
trg_user_transactions_wallet_bi,user_transactions
trg_user_transactions_wallet_bi,user_transactions
trg_winners_wallet_bi,winners
trg_winners_wallet_bi,winners
trg_sync_identity_user_tx,user_transactions
trg_sync_identity_user_tx,user_transactions
trg_check_sold_out_on_ticket_insert,tickets
trg_sub_account_balances_sync_ids,sub_account_balances
trg_sub_account_balances_sync_ids,sub_account_balances
trg_user_transactions_post_to_wallet,user_transactions
trg_user_transactions_post_to_wallet,user_transactions
trg_balance_ledger_sync_wallet,balance_ledger
trg_tickets_set_cuid,tickets
trg_tickets_set_cuid,tickets
trg_joincompetition_set_cuid,joincompetition
trg_joincompetition_set_cuid,joincompetition
trg_pending_tickets_set_cuid,pending_tickets
trg_pending_tickets_set_cuid,pending_tickets
trg_user_transactions_set_cuid,user_transactions
trg_user_transactions_set_cuid,user_transactions
trg_joincompetition_wallet_bi,joincompetition
trg_joincompetition_wallet_bi,joincompetition
